text,label,notes
Worst co-op event? The bosses and player issues make the whole event feel frustrating.,reaction_opinion,event rant
"Patch 6.6: barely any rewards, powercreep, and boring character kits make me worried for Snezhnaya.",reaction_opinion,patch rant
Did anyone actually like this event? I wish every event was just combat because this minigame felt clunky and boring.,reaction_opinion,event opinion
Hoyo is running out of ideas. The potion event was boring and I only enjoy the actual gameplay events.,reaction_opinion,event complaint
Why is Stygian counted as an event? I genuinely don't get it; there is such a big gap where nothing happens.,reaction_opinion,event complaint
"I still enjoy Genshin, but Genshin players are treated the worst out of all Hoyo games in my opinion.",reaction_opinion,game complaint
"As a long-time spender, I'm starting to feel disconnected.",reaction_opinion,personal reaction
"No, seriously, who asked for this?",reaction_opinion,complaint
The event isn't that bad. I don't understand why everyone hates that you can't get the name card.,reaction_opinion,event opinion
This has single-handedly been the greatest Archon Quest experience for me.,reaction_opinion,positive reaction
Do you guys get any hate for playing Genshin?,reaction_opinion,community reaction
Truly one of the worst banners in Genshin's history so far.,reaction_opinion,banner complaint
"So, what did y'all think of this event? Furina with Celestia above her hand was one of the best screenshots.",reaction_opinion,event reaction
Why does Genshin Impact get so much hate? I have met some of the nicest people through this game.,reaction_opinion,community opinion
What was your worst luck with a character banner?,reaction_opinion,banner reaction
Wanted Citlali and made the worst banner mistake.,reaction_opinion,pull regret
Do all standard banner 5-stars suck?,reaction_opinion,character opinion
Genshin Impact is boring now.,reaction_opinion,game complaint
Is there something that you hate about Genshin?,reaction_opinion,opinion prompt
Standard banner characters shouldn't be on chronicled banners because losing to standard characters feels scary.,reaction_opinion,banner opinion
"I also found the event boring, but it was easy primos so I have no complaints.",reaction_opinion,event reaction
I don't understand the hate around Genshin Impact and its community.,reaction_opinion,community opinion
So the worst event in the game's history will soon be over for everyone.,reaction_opinion,event complaint
"How does it feel when you missed out on events, event banners, or story event quests?",reaction_opinion,nostalgia/reaction
What is the worst 5-star rating in Genshin Impact?,reaction_opinion,character opinion
I LIKE THE NEW EVENT SO MUCH.,reaction_opinion,positive reaction
Isn't Genshin hate too forced? Sometimes it just feels like a trend to hate the game.,reaction_opinion,community opinion
"Why do people hate fun? Every time I say I want a character, people tell me not to pull because they are powercrept.",reaction_opinion,pull rant
Hate how inaccessible current events are for new players because they can trigger story quests and spoilers.,reaction_opinion,new player rant
WDYM they aren't voiced even in Archon Quests? Why?,reaction_opinion,voice complaint
"Yeah I agree, Dainsleif and sibling journeyed after. Who knows what the details are, if sibling tried to help save Khaenri'ah or only met Dainsleif after it was destroyed and didn't know about the history until after learning about it and talking to Dainsleif. At which some point they started to hate Dainsleif's attitude or perspectives of Khaneri'ah or Abyss Order and joined the Abyss Order to right the wrongs. Meanwhile Dainsleif has some other opinion or objectives regarding why the Abyss Order is going about it all wrong (perhaps he has lost faith in fighting the gods and the Abyss Order only brings about destruction and this includes someone dear to him for example).",lore_analysis,story theory
